FB Chorales,,,,,,
Breitkopf Chorales,,,,,,
"Opus BWV
* indicates dubious FB",Breitkopf Number,Name of the cantata,Date of first performance,Text setting,NBA location,Musicological comments
113.01,,"Herr Jesu Christ, du höchstes Gut","Aug 20, 1724","Herr Jesu Christ, du höchstes Gut","I vol.20, p.81",interlude chorale
124.06,,Meinen Jesum laß ich nicht,"Jan 7, 1725",Jesum lass ich nicht von mir,"I vol.4, p.142",
125.06,,Mit Fried und Freud ich fahr dahin,"Feb 2, 1725",Er ist das Heil und selig Licht,"I vol.28.1, p.65",
128.05,,Auf Christi Himmelfahrt allein,"May 10, 1725",Alsdenn so wirst du mich,"I vol.12, p.132",instrumental chorale
129.05,,"Gelobet sei der Herr, mein Gott","Jun 8, 1727",Dem wir das Heilig itzt,"I vol.15, p.78",interlude chorale
135.06,,"Ach Herr, mich armen Sünder","Jun 25, 1724",Ehr sei ins Himmels Throne,"I vol.16, p.229",
137.05,,"Lobe den Herren, den mächtigen König der Ehren","Aug 19, 1725","Lobe den Herren, was in mir ist, lobe den Namen","I vol.20, p.214",instrumental chorale
139.06,,"Wohl dem, der sich auf seinen Gott","Nov 12, 1724",Dahero Trotz der Höllen Heer!,"I vol.26, p.130",
149.07,,Man singet mit Freuden vom Sieg,"Sep 29, 1728","Ach Herr, laß dein lieb Engelein","I vol.30, p.139","instrumental chorale (only the last measure)
figures missing except m.3-4 and m.19-20"
157.05,,"Ich lasse dich nicht, du segnest mich denn","Feb 6, 1727",Meinen Jesum laß ich nicht,"I vol.34, p.66",
167.05,,"Ihr Menschen, rühmet Gottes Liebe","Jun 24, 1724","Sei Lob und Preis mit Ehren
","I vol.29, p.18",interlude chorale
171.06,,"Gott, wie dein Name, so ist auch dein Ruhm","Jan 1, 1729",Laß uns das Jarh vollbringen,"I vol.4, p.162","interlude chorale
see BWV 41.06, 190.07, and 362
figures missing after m.21 (m.16 in xml file)"
185.06,,Barmherziges Herze der ewigen Liebe,1746-1747,"Ich ruf zu dir, Herr Jesu Christ","I vol.17.1, p.45",instrumental chorale
195.06,,Dem Gerechten muß das Licht,1727-1732 ?,Nun danket all und bringet Ehr,"I vol.33, p. 243","instrumental chorale
figures missing except m.7"
244.17,,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729","Schaut hin, dort liegt im finstern Stall","II vol.6, p.73",
244b.29,,"Klagt, Kinder, klagt es aller Welt","Apr 15, 1729",,"II vol.5, p.119",interlude chorale
245.05,,Johannes-Passion,"Apr 7, 1724","Dein Will gessheh, Herr Gott, zugleich","II vol.4, p.25",
248.17,,Weihnachts-Oratorium,"Dec 25, 1734","Schaut hin, dort liegt im finstern Stall","II vol.6, p.73",
248.28,,Weihnachts-Oratorium,"Dec 25, 1734",Dies hat er alles uns getan,"II vol.6, p.126",
248.64,,Weihnachts-Oratorium,"Dec 25, 1734",Nun seid ihr wohl gerochen,"II vol.6, p.296",interlude chorale
Reconstructed 4-voice FB Chorales (Schemelli + Breitkopf),,,,,,
"Opus BWV
Schemelli’s FB","Breitkopf Number
4-voice chorale",,,Text setting,NBA location,"Musicological comments
Measure numbers : NBA (musicXML)"
447*,232,,,Der Tag ist hin,"FB - III vol.2.1, p.108
4-v - III vol.2.2, p. 137",
461*,234,,,Gott lebet noch,"FB - III vol.2.1, p.172
4-v - III vol.2.2, p. 138",changed figure 6/4 to __ m. 37.1 (BWV 461 and Breitkopf don’t share the same notes on m. 37.1)
470*,244,,,"Jesu, Jesu, du bist mein","FB - III vol.2.1, p.204
4-v - III vol.2.2, p. 144",
488*,346,,,Meines Lebens letzte Zeit,"FB - III vol.2.1, p.224
4-v - III vol.2.2, p. 199",
495*,213,,,"O wie selig ihr doch, ihr Frommen","FB - III vol.2.1, p.228
4-v - III vol.2.2, p. 124",
499*,172,,,"Sei gegrüßet, Jesu gütig","FB - III vol.2.1, p.143
4-v - III vol.2.2, p. 98",
481*,220,,,Lasset uns mit Jesu ziehen,"FB - III vol.2.1, p.136
4-v - III vol.2.2, p. 130",
506*,193,,,"Was bist du doch, o Seele, so betrübet","FB - III vol.2.1, p.208
4-v - III vol.2.2, p. 108",
2-voice Schemelli Chorales (Dubious works),,,,,,
Opus BWV,,,,Text setting,NBA location,"Musicological comments
Measure numbers : NBA (musicXML)"
,To come…,,,,,
,,,,,,
Non FB Chorales,,,,,,
Breitkopf Chorales,,,,,,
Opus BWV,Breitkopf Number,,,Text setting,NBA location,"Musicological comments
Measure numbers : NBA (musicXML)"
,To come…,,,,,
,,,,,,
Other 4-voice Chorales,,,,,,
Opus BWV,,,,Text setting,NBA location,"Musicological comments
Measure numbers : NBA (musicXML)"
,To come…,,,,,
,,,,,,
Schemelli Chorales (2-voice),,,,,,
Opus BWV,,,,First lyrics,NBA location,"Musicological comments
Measure numbers : NBA (musicXML)"
,To come…,,,,,
,,,,,,
